ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 1 default,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 2 default
,variable,TSHIRT-001,Premium Fashion Wear 001,1,0,visible,Short desc for Premium Fashion Wear 001.,This is a long description for Premium Fashion Wear 001. Perfect for your collection.,,,taxable,,1,,,0,0,0.5,30,20,5,1,,,,Clothing > Jeans,"fashion, clothes, 2026",,https://images.unsplash.com/photo-1523381210434-271e8be1f52b?q=80&w=1000&auto=format&fit=crop,,,,,,,,,0,Size,"S, M",1,1,,Color,"Black, White",1,1,
,variation,TSHIRT-001-S,Premium Fashion Wear 001 - S,1,0,visible,,,,,taxable,parent,1,6,2,0,0,0.5,30,20,5,1,,,100,,,,https://images.unsplash.com/photo-1523381210434-271e8be1f52b?q=80&w=1000&auto=format&fit=crop,,,TSHIRT-001,,,,,,0,Size,S,,1,,Color,Black,,1,
,variation,TSHIRT-001-M,Premium Fashion Wear 001 - M,1,0,visible,,,,,taxable,parent,1,50,2,0,0,0.5,30,20,5,1,,,100,,,,https://images.unsplash.com/photo-1523381210434-271e8be1f52b?q=80&w=1000&auto=format&fit=crop,,,TSHIRT-001,,,,,,0,Size,M,,1,,Color,Black,,1,
,variable,TSHIRT-002,Premium Fashion Wear 002,1,0,visible,Short desc for Premium Fashion Wear 002.,This is a long description for Premium Fashion Wear 002. Perfect for your collection.,,,taxable,,1,,,0,0,0.5,30,20,5,1,,,,Clothing > Hoodies,"fashion, clothes, 2026",,https://images.unsplash.com/photo-1583743814966-8936f5b7be1a?q=80&w=1000&auto=format&fit=crop,,,,,,,,,0,Size,"S, M",1,1,,Color,"Black, White",1,1,
,variation,TSHIRT-002-S,Premium Fashion Wear 002 - S,1,0,visible,,,,,taxable,parent,1,44,2,0,0,0.5,30,20,5,1,,,113,,,,https://images.unsplash.com/photo-1583743814966-8936f5b7be1a?q=80&w=1000&auto=format&fit=crop,,,TSHIRT-002,,,,,,0,Size,S,,1,,Color,Black,,1,
,variation,TSHIRT-002-M,Premium Fashion Wear 002 - M,1,0,visible,,,,,taxable,parent,1,26,2,0,0,0.5,30,20,5,1,,,113,,,,https://images.unsplash.com/photo-1583743814966-8936f5b7be1a?q=80&w=1000&auto=format&fit=crop,,,TSHIRT-002,,,,,,0,Size,M,,1,,Color,Black,,1,
,variable,TSHIRT-003,Premium Fashion Wear 003,1,0,visible,Short desc for Premium Fashion Wear 003.,This is a long description for Premium Fashion Wear 003. Perfect for your collection.,,,taxable,,1,,,0,0,0.5,30,20,5,1,,,,Clothing > Hoodies,"fashion, clothes, 2026",,https://images.unsplash.com/photo-1583743814966-8936f5b7be1a?q=80&w=1000&auto=format&fit=crop,,,,,,,,,0,Size,"S, M",1,1,,Color,"Black, White",1,1,
,variation,TSHIRT-003-S,Premium Fashion Wear 003 - S,1,0,visible,,,,,taxable,parent,1,14,2,0,0,0.5,30,20,5,1,,,50,,,,https://images.unsplash.com/photo-1583743814966-8936f5b7be1a?q=80&w=1000&auto=format&fit=crop,,,TSHIRT-003,,,,,,0,Size,S,,1,,Color,Black,,1,
,variation,TSHIRT-003-M,Premium Fashion Wear 003 - M,1,0,visible,,,,,taxable,parent,1,43,2,0,0,0.5,30,20,5,1,,,50,,,,https://images.unsplash.com/photo-1583743814966-8936f5b7be1a?q=80&w=1000&auto=format&fit=crop,,,TSHIRT-003,,,,,,0,Size,M,,1,,Color,Black,,1,
,variable,TSHIRT-004,Premium Fashion Wear 004,1,0,visible,Short desc for Premium Fashion Wear 004.,This is a long description for Premium Fashion Wear 004. Perfect for your collection.,,,taxable,,1,,,0,0,0.5,30,20,5,1,,,,Clothing > Jeans,"fashion, clothes, 2026",,https://images.unsplash.com/photo-1523381210434-271e8be1f52b?q=80&w=1000&auto=format&fit=crop,,,,,,,,,0,Size,"S, M",1,1,,Color,"Black, White",1,1,
,variation,TSHIRT-004-S,Premium Fashion Wear 004 - S,1,0,visible,,,,,taxable,parent,1,18,2,0,0,0.5,30,20,5,1,,,34,,,,https://images.unsplash.com/photo-1523381210434-271e8be1f52b?q=80&w=1000&auto=format&fit=crop,,,TSHIRT-004,,,,,,0,Size,S,,1,,Color,Black,,1,
,variation,TSHIRT-004-M,Premium Fashion Wear 004 - M,1,0,visible,,,,,taxable,parent,1,50,2,0,0,0.5,30,20,5,1,,,34,,,,https://images.unsplash.com/photo-1523381210434-271e8be1f52b?q=80&w=1000&auto=format&fit=crop,,,TSHIRT-004,,,,,,0,Size,M,,1,,Color,Black,,1,
,variable,TSHIRT-005,Premium Fashion Wear 005,1,0,visible,Short desc for Premium Fashion Wear 005.,This is a long description for Premium Fashion Wear 005. Perfect for your collection.,,,taxable,,1,,,0,0,0.5,30,20,5,1,,,,Clothing > T-Shirts,"fashion, clothes, 2026",,https://images.unsplash.com/photo-1523381210434-271e8be1f52b?q=80&w=1000&auto=format&fit=crop,,,,,,,,,0,Size,"S, M",1,1,,Color,"Black, White",1,1,
,variation,TSHIRT-005-S,Premium Fashion Wear 005 - S,1,0,visible,,,,,taxable,parent,1,7,2,0,0,0.5,30,20,5,1,,,93,,,,https://images.unsplash.com/photo-1523381210434-271e8be1f52b?q=80&w=1000&auto=format&fit=crop,,,TSHIRT-005,,,,,,0,Size,S,,1,,Color,Black,,1,
,variation,TSHIRT-005-M,Premium Fashion Wear 005 - M,1,0,visible,,,,,taxable,parent,1,42,2,0,0,0.5,30,20,5,1,,,93,,,,https://images.unsplash.com/photo-1523381210434-271e8be1f52b?q=80&w=1000&auto=format&fit=crop,,,TSHIRT-005,,,,,,0,Size,M,,1,,Color,Black,,1,
,variable,TSHIRT-006,Premium Fashion Wear 006,1,0,visible,Short desc for Premium Fashion Wear 006.,This is a long description for Premium Fashion Wear 006. Perfect for your collection.,,,taxable,,1,,,0,0,0.5,30,20,5,1,,,,Clothing > T-Shirts,"fashion, clothes, 2026",,https://images.unsplash.com/photo-1620799140408-edc6dcb6d633?q=80&w=1000&auto=format&fit=crop,,,,,,,,,0,Size,"S, M",1,1,,Color,"Black, White",1,1,
,variation,TSHIRT-006-S,Premium Fashion Wear 006 - S,1,0,visible,,,,,taxable,parent,1,24,2,0,0,0.5,30,20,5,1,,,57,,,,https://images.unsplash.com/photo-1620799140408-edc6dcb6d633?q=80&w=1000&auto=format&fit=crop,,,TSHIRT-006,,,,,,0,Size,S,,1,,Color,Black,,1,
,variation,TSHIRT-006-M,Premium Fashion Wear 006 - M,1,0,visible,,,,,taxable,parent,1,16,2,0,0,0.5,30,20,5,1,,,57,,,,https://images.unsplash.com/photo-1620799140408-edc6dcb6d633?q=80&w=1000&auto=format&fit=crop,,,TSHIRT-006,,,,,,0,Size,M,,1,,Color,Black,,1,
,variable,TSHIRT-007,Premium Fashion Wear 007,1,0,visible,Short desc for Premium Fashion Wear 007.,This is a long description for Premium Fashion Wear 007. Perfect for your collection.,,,taxable,,1,,,0,0,0.5,30,20,5,1,,,,Clothing > Jeans,"fashion, clothes, 2026",,https://images.unsplash.com/photo-1542272454315-4c01d7afdf4a?q=80&w=1000&auto=format&fit=crop,,,,,,,,,0,Size,"S, M",1,1,,Color,"Black, White",1,1,
,variation,TSHIRT-007-S,Premium Fashion Wear 007 - S,1,0,visible,,,,,taxable,parent,1,16,2,0,0,0.5,30,20,5,1,,,50,,,,https://images.unsplash.com/photo-1542272454315-4c01d7afdf4a?q=80&w=1000&auto=format&fit=crop,,,TSHIRT-007,,,,,,0,Size,S,,1,,Color,Black,,1,
,variation,TSHIRT-007-M,Premium Fashion Wear 007 - M,1,0,visible,,,,,taxable,parent,1,35,2,0,0,0.5,30,20,5,1,,,50,,,,https://images.unsplash.com/photo-1542272454315-4c01d7afdf4a?q=80&w=1000&auto=format&fit=crop,,,TSHIRT-007,,,,,,0,Size,M,,1,,Color,Black,,1,
,variable,TSHIRT-008,Premium Fashion Wear 008,1,0,visible,Short desc for Premium Fashion Wear 008.,This is a long description for Premium Fashion Wear 008. Perfect for your collection.,,,taxable,,1,,,0,0,0.5,30,20,5,1,,,,Clothing > Hoodies,"fashion, clothes, 2026",,https://images.unsplash.com/photo-1515886657613-9f3515b0c78f?q=80&w=1000&auto=format&fit=crop,,,,,,,,,0,Size,"S, M",1,1,,Color,"Black, White",1,1,
,variation,TSHIRT-008-S,Premium Fashion Wear 008 - S,1,0,visible,,,,,taxable,parent,1,27,2,0,0,0.5,30,20,5,1,,,79,,,,https://images.unsplash.com/photo-1515886657613-9f3515b0c78f?q=80&w=1000&auto=format&fit=crop,,,TSHIRT-008,,,,,,0,Size,S,,1,,Color,Black,,1,
,variation,TSHIRT-008-M,Premium Fashion Wear 008 - M,1,0,visible,,,,,taxable,parent,1,25,2,0,0,0.5,30,20,5,1,,,79,,,,https://images.unsplash.com/photo-1515886657613-9f3515b0c78f?q=80&w=1000&auto=format&fit=crop,,,TSHIRT-008,,,,,,0,Size,M,,1,,Color,Black,,1,
,variable,TSHIRT-009,Premium Fashion Wear 009,1,0,visible,Short desc for Premium Fashion Wear 009.,This is a long description for Premium Fashion Wear 009. Perfect for your collection.,,,taxable,,1,,,0,0,0.5,30,20,5,1,,,,Clothing > Hoodies,"fashion, clothes, 2026",,https://images.unsplash.com/photo-1591047139829-d91aecb6caea?q=80&w=1000&auto=format&fit=crop,,,,,,,,,0,Size,"S, M",1,1,,Color,"Black, White",1,1,
,variation,TSHIRT-009-S,Premium Fashion Wear 009 - S,1,0,visible,,,,,taxable,parent,1,17,2,0,0,0.5,30,20,5,1,,,108,,,,https://images.unsplash.com/photo-1591047139829-d91aecb6caea?q=80&w=1000&auto=format&fit=crop,,,TSHIRT-009,,,,,,0,Size,S,,1,,Color,Black,,1,
